name,japanese_name,pokedex_number,generation,type1,type2,fully_evolved,weight_kg,height_m,hp,attack,defense,sp_attack,sp_defense,speed,base_total,capture_rate,exp_growth,base_happiness,base_egg_steps,percentage_male,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,is_legendary
Bulbasaur,Fushigidaneフシギダネ,1,1,grass,poison,0,6.9,0.7,45,49,49,65,65,45,318,45.0,1059860,70,5120,88.1,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0
Ivysaur,Fushigisouフシギソウ,2,1,grass,poison,0,13.0,1.0,60,62,63,80,80,60,405,45.0,1059860,70,5120,88.1,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0
Venusaur,Fushigibanaフシギバナ,3,1,grass,poison,1,100.0,2.0,80,82,83,100,100,80,525,45.0,1059860,70,5120,88.1,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0
Charmander,Hitokageヒトカゲ,4,1,fire,NT2,0,8.5,0.6,39,52,43,60,50,65,309,45.0,1059860,70,5120,88.1,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,0
Charmeleon,Lizardoリザード,5,1,fire,NT2,0,19.0,1.1,58,64,58,80,65,80,405,45.0,1059860,70,5120,88.1,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,0
Charizard,Lizardonリザードン,6,1,fire,flying,1,90.5,1.7,78,84,78,109,85,100,534,45.0,1059860,70,5120,88.1,0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,0
Squirtle,Zenigameゼニガメ,7,1,water,NT2,0,9.0,0.5,44,48,65,50,64,43,314,45.0,1059860,70,5120,88.1,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0
Wartortle,Kameilカメール,8,1,water,NT2,0,22.5,1.0,59,63,80,65,80,58,405,45.0,1059860,70,5120,88.1,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0
Blastoise,Kamexカメックス,9,1,water,NT2,1,85.5,1.6,79,83,100,85,105,78,530,45.0,1059860,70,5120,88.1,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0
Caterpie,Caterpieキャタピー,10,1,bug,NT2,0,2.9,0.3,45,30,35,20,20,45,195,255.0,1000000,70,3840,50.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0
